filename,label
00000.png,1
00001.png,2
00002.png,1
00003.png,2
00004.png,2
00005.png,1
00006.png,2
00007.png,1
00008.png,1
00009.png,1
00010.png,2
00011.png,2
00012.png,1
00013.png,2
00014.png,2
00015.png,1
00016.png,2
00017.png,2
00018.png,2
00019.png,2
00020.png,1
00021.png,1
00022.png,2
00023.png,2
00024.png,1
00025.png,2
00026.png,1
00027.png,1
00028.png,2
00029.png,1
00030.png,1
00031.png,2
00032.png,2
00033.png,1
00034.png,1
00035.png,1
00036.png,2
00037.png,1
00038.png,1
00039.png,2
00040.png,1
00041.png,1
00042.png,2
00043.png,2
00044.png,2
00045.png,2
00046.png,1
00047.png,2
00048.png,1
00049.png,2
00050.png,1
00051.png,2
00052.png,1
00053.png,1
00054.png,2
00055.png,2
00056.png,2
00057.png,2
00058.png,1
00059.png,1
00060.png,1
00061.png,2
00062.png,1
00063.png,2
00064.png,1
00065.png,2
00066.png,2
00067.png,2
00068.png,1
00069.png,2
00070.png,1
00071.png,1
00072.png,1
00073.png,1
00074.png,2
00075.png,1
00076.png,2
00077.png,1
00078.png,1
00079.png,2
00080.png,1
00081.png,2
00082.png,2
00083.png,2
00084.png,2
00085.png,1
00086.png,1
00087.png,1
00088.png,2
00089.png,1
