filename,label
00000.png,1
00001.png,0
00002.png,1
00003.png,0
00004.png,1
00005.png,0
00006.png,1
00007.png,1
00008.png,1
00009.png,0
00010.png,1
00011.png,1
00012.png,1
00013.png,1
00014.png,1
00015.png,1
00016.png,1
00017.png,1
00018.png,1
00019.png,1
00020.png,0
00021.png,0
00022.png,1
00023.png,0
00024.png,0
00025.png,0
00026.png,1
00027.png,0
00028.png,0
00029.png,0
00030.png,1
00031.png,0
00032.png,0
00033.png,0
00034.png,1
00035.png,0
00036.png,1
00037.png,0
00038.png,0
00039.png,0
00040.png,0
00041.png,0
00042.png,0
00043.png,1
00044.png,1
00045.png,1
00046.png,0
00047.png,0
00048.png,1
00049.png,0
00050.png,0
00051.png,0
00052.png,1
00053.png,0
00054.png,1
00055.png,0
00056.png,1
00057.png,1
00058.png,0
00059.png,0
00060.png,1
00061.png,1
00062.png,0
00063.png,0
00064.png,1
00065.png,1
00066.png,0
00067.png,1
00068.png,1
00069.png,1
00070.png,1
00071.png,1
00072.png,0
00073.png,0
00074.png,1
00075.png,1
00076.png,1
00077.png,0
00078.png,0
00079.png,0
00080.png,0
00081.png,1
00082.png,0
00083.png,0
00084.png,1
00085.png,0
00086.png,0
00087.png,1
00088.png,1
00089.png,0
